"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"1.Average",0.516666666666667,0.737060941914431,0.4609436440781,1.02109477416898,0.150447320513595,-0.220394275247765,-0.504428107502309,0.055723022588567,0.150447320513595,-0.299017710360986,-0.684377747913374,0.0756016489543358,0.204117884910338,0.05,0.07
"1.Cumulative",31,44.2236565148659,27.656618644686,61.2656864501385,9.02683923081569,-13.2236565148659,-30.2656864501385,3.34338135531402,9.02683923081569,-0.299017710360986,-0.684377747913374,0.0756016489543358,0.204117884910338,0.05,0.07
"10.Average",0.0833333333333333,0.18407969371948,0.0167755796986793,0.348124016987727,0.0841813228941921,-0.100746360386147,-0.264790683654394,0.0665577536346537,0.0841813228941921,-0.547297522885249,-1.43845678088703,0.361570319299213,0.457309120811969,0.05,0.113
"10.Cumulative",5,11.0447816231688,1.00653478192076,20.8874410192636,5.05087937365152,-6.04478162316882,-15.8874410192636,3.99346521807922,5.05087937365152,-0.547297522885249,-1.43845678088703,0.361570319299213,0.457309120811969,0.05,0.113
"11.Average",0.166666666666667,0.171541998664752,0.00151780347941118,0.329910822430892,0.0832746066372205,-0.00487533199808546,-0.163244155764225,0.165148863187255,0.0832746066372205,-0.0284206318920967,-0.951627922228283,0.962731368835274,0.485447338176149,0.05,0.471943887775551
"11.Cumulative",10,10.2925199198851,0.091068208764671,19.7946493458535,4.99647639823323,-0.292519919885127,-9.79464934585349,9.90893179123533,4.99647639823323,-0.0284206318920966,-0.951627922228283,0.962731368835274,0.485447338176149,0.05,0.471943887775551
"12.Average",0.166666666666667,0.0771896243091079,-0.0164398389725606,0.169748969931262,0.0468508853179268,0.0894770423575588,-0.0030823032645955,0.183106505639227,0.0468508853179268,1.1591848406885,-0.0399315748999158,2.37216474724598,0.606958328107819,0.05,0.031
"12.Cumulative",10,4.63137745854647,-0.986390338353633,10.1849381958757,2.81105311907561,5.36862254145353,-0.18493819587573,10.9863903383536,2.81105311907561,1.15918484068851,-0.0399315748999157,2.37216474724598,0.606958328107819,0.05,0.031
"13.Average",0.133333333333333,0.167237004103285,0.0307861043403415,0.292378033408184,0.0684658559089097,-0.0339036707699515,-0.159044700074851,0.102547228992992,0.0684658559089097,-0.202728283442657,-0.951013807785181,0.613185039655812,0.409394178495481,0.05,0.288214702450408
"13.Cumulative",8,10.0342202461971,1.84716626042049,17.5426820044911,4.10795135453458,-2.03422024619709,-9.54268200449106,6.15283373957951,4.10795135453458,-0.202728283442657,-0.951013807785181,0.613185039655812,0.409394178495481,0.05,0.288214702450408
"14.Average",0.2,0.425775446093987,0.203482280596127,0.643219750540163,0.113910567415048,-0.225775446093987,-0.443219750540163,-0.00348228059612758,0.113910567415048,-0.530268826361933,-1.04097066800401,-0.00817867875678038,0.267536722608244,0.05,0.0251141552511416
"14.Cumulative",12,25.5465267656392,12.2089368357677,38.5931850324098,6.83463404490289,-13.5465267656392,-26.5931850324098,-0.208936835767655,6.83463404490289,-0.530268826361933,-1.04097066800401,-0.00817867875678038,0.267536722608244,0.05,0.0251141552511416
"15.Average",0.55,0.577946829886119,0.264662265384298,0.851860933703499,0.148362919555564,-0.0279468298861194,-0.301860933703499,0.285337734615702,0.148362919555564,-0.0483553649591367,-0.522298796522474,0.49370931694863,0.25670686624373,0.05,0.39873417721519
"15.Cumulative",33,34.6768097931672,15.8797359230579,51.11165602221,8.90177517333384,-1.67680979316717,-18.11165602221,17.1202640769421,8.90177517333384,-0.0483553649591368,-0.522298796522474,0.49370931694863,0.25670686624373,0.05,0.39873417721519
"16.Average",0.4,0.513495728800328,0.282249488882116,0.75007814079233,0.120312539665289,-0.113495728800328,-0.35007814079233,0.117750511117884,0.120312539665289,-0.221025653057497,-0.681754727756377,0.229311568750498,0.234300955036907,0.05,0.167364016736402
"16.Cumulative",24,30.8097437280197,16.934969332927,45.0046884475398,7.21875237991735,-6.80974372801965,-21.0046884475398,7.06503066707301,7.21875237991735,-0.221025653057497,-0.681754727756377,0.229311568750498,0.234300955036907,0.05,0.167364016736402
"17.Average",0.233333333333333,0.313553016051363,0.11149567682526,0.504193007530039,0.100417002630464,-0.0802196827180293,-0.270859674196706,0.121837656508073,0.100417002630464,-0.255840890093332,-0.863840117399276,0.38857115151498,0.320255259844208,0.05,0.205
"17.Cumulative",14,18.8131809630818,6.68974060951562,30.2515804518024,6.02502015782786,-4.81318096308176,-16.2515804518024,7.31025939048438,6.02502015782786,-0.255840890093332,-0.863840117399276,0.38857115151498,0.320255259844208,0.05,0.205
"18.Average",0.1,0.0785100036298087,-0.0273922068183405,0.187784986139115,0.0576495178268342,0.0214899963701913,-0.0877849861391155,0.12739220681834,0.0576495178268342,0.273723033710726,-1.11813758859368,1.62262388139761,0.734295187383558,0.05,0.368
"18.Cumulative",6,4.71060021778852,-1.64353240910043,11.2670991683469,3.45897106961005,1.28939978221148,-5.26709916834693,7.64353240910043,3.45897106961005,0.273723033710726,-1.11813758859368,1.62262388139761,0.734295187383558,0.05,0.368
"19.Average",0.816666666666667,0.85393353014369,0.505412371059481,1.18286407134318,0.168807166555074,-0.0372668634770229,-0.366197404676513,0.311254295607186,0.168807166555074,-0.0436414102052558,-0.428835959415827,0.364494758221769,0.197681857657784,0.05,0.428909952606635
"19.Cumulative",49,51.2360118086214,30.3247422635689,70.9718442805907,10.1284299933044,-2.23601180862137,-21.9718442805908,18.6752577364311,10.1284299933044,-0.0436414102052557,-0.428835959415827,0.364494758221769,0.197681857657784,0.05,0.428909952606635
"2.Average",0.466666666666667,0.745591374306993,0.437312458240861,1.0282978898311,0.148055663999412,-0.278924707640326,-0.561631223164436,0.0293542084258061,0.148055663999412,-0.37409862459793,-0.753269475101503,0.0393703702018951,0.198574807999926,0.05,0.0389768574908648
"2.Cumulative",28,44.7354824584196,26.2387474944516,61.6978733898662,8.88333983996472,-16.7354824584196,-33.6978733898662,1.76125250554836,8.88333983996472,-0.37409862459793,-0.753269475101503,0.0393703702018951,0.198574807999926,0.05,0.0389768574908648
"20.Average",0.183333333333333,0.237581599846772,0.0660362910478039,0.414925357314177,0.0888755720564664,-0.0542482665134383,-0.231592023980844,0.117297042285529,0.0888755720564664,-0.228335302685165,-0.974789395012952,0.493712654351938,0.374084407688923,0.05,0.267561983471074
"20.Cumulative",11,14.2548959908063,3.96217746286823,24.8955214388506,5.33253432338798,-3.25489599080629,-13.8955214388506,7.03782253713177,5.33253432338798,-0.228335302685165,-0.974789395012952,0.493712654351938,0.374084407688923,0.05,0.267561983471074
"21.Average",0.283333333333333,0.346298755014021,0.14449808173255,0.54159764578772,0.105051279815063,-0.0629654216806876,-0.258264312454387,0.138835251600783,0.105051279815063,-0.181823990900973,-0.74578469808224,0.400911783801135,0.303354483069999,0.05,0.261
"21.Cumulative",17,20.7779253008413,8.66988490395299,32.4958587472632,6.30307678890375,-3.77792530084126,-15.4958587472632,8.330115096047,6.30307678890375,-0.181823990900973,-0.74578469808224,0.400911783801135,0.303354483069999,0.05,0.261
"22.Average",0.566666666666667,0.655380241334264,0.322545597846943,0.965300470963618,0.16194324571671,-0.0887135746675976,-0.398633804296951,0.244121068819724,0.16194324571671,-0.135361991516541,-0.608248127049707,0.372487684893775,0.247098150818547,0.05,0.314465408805031
"22.Cumulative",34,39.3228144800559,19.3527358708166,57.9180282578171,9.7165947430026,-5.32281448005585,-23.9180282578171,14.6472641291834,9.7165947430026,-0.135361991516541,-0.608248127049707,0.372487684893775,0.247098150818547,0.05,0.314465408805031
"23.Average",1.3,1.37076331665535,0.953378725869238,1.81048723091502,0.220309659448549,-0.0707633166553459,-0.510487230915023,0.346621274130762,0.220309659448549,-0.0516232932378202,-0.372410922230257,0.25286734034911,0.160720422535163,0.05,0.395251396648045
"23.Cumulative",78,82.2457989993208,57.2027235521543,108.629233854901,13.2185795669129,-4.24579899932075,-30.6292338549014,20.7972764478457,13.2185795669129,-0.0516232932378202,-0.372410922230257,0.25286734034911,0.160720422535163,0.05,0.395251396648045
"24.Average",0.683333333333333,0.976876432459171,0.592141541785438,1.37277495379874,0.201249107089013,-0.293543099125837,-0.689441620465405,0.0911917915478951,0.201249107089013,-0.300491535441056,-0.70576134048993,0.0933503854917767,0.206012859356625,0.05,0.071578947368421
