Geo_Group,Community,,Geo_ID,N_Violent_19,Crowded_Housing_%_1216,Income_Diversity_1418,Vegetation_Index_17,Vacant_Housing_%_1216,Aerosol_Optical_Depth_17,Overall_Health_Status_%_1618,Foreign_Born_%_1216,Single_Parents_Households1216,Neighborhood_Safety_%_1618,Mobility Rate_2018,65+_%_2018,Total_Population_2018,Total_Population/1000,Big_Community(>66p),%_Poverty_2018,%_0-4_2018,%_5-17_2018,%_0-17,Covid_Cases_0905,Covid_Deaths_0905,Covid_Cases_Rate10k,Covid_Death_Rate10k,Has_Police,N_Active_Business_Licenses,Active_Bus_Rate_10k,Burglary_2019,Burglary_Rate_19_10k,Assault_2019,Assault_Rate_19_10k,Narcotics_2019,Narcotics_Rate_10k,Robbery_2019,Robbery_Rate_10k
1-Rogers Park,1,Rogers Park,1,53,6.608129277,62.2,0.25,11.9,0.181,77,26.4,7.5,73,12.40,8.7,55062.00000,55.06200,1,26.2,5.8,11.6,17.4,1712,126,310.9222331,56.46766066,1,1500,272.4201809,181,32.87203516,276,50.12531328,95,17.25327812,111,20.1590934
2-West Ridge,2,West Ridge,2,63,7.723347591,64.7,0.31,11.4,0.179,84.2,42.7,7.8,75.6,10.1,12.8,76215,76.21500,1,20.7,7.8,17.3,25.1,2203,153,289.0507118,37.92569859,1,2315,303.7459818,215,21,223,29.25933215,69,9.053335957,89,11.6774913
3-Uptown,3,Uptown,3,38,4.644958271,65.9,0.31,10.1,0.179,86.3,25.5,4,81.9,16.1,12.3,57973,57.97300,1,23.3,4.4,7.6,12,887,77,153.0022597,26.39198587,1,2377,410.0184569,109,18.80185604,274,47.26338123,57,9.832163248,75,12.9370569
4-Lincoln Square,4,Lincoln Square,4,24,1.866319444,64.4,0.3,6.2,0.173,84.5,24.4,4.1,90.1,6.6,9.2,41715,41.71500,1,10.8,7.9,8.7,16.6,2974,191,712.9329977,170.9056689,1,5735,1374.805226,96,23.01330457,119,28.52690879,25,5.993048064,27,6.4724919
5-North Center,5,North Center,5,15,0.797305657,56.3,0.24,10.2,0.163,83.4,10.5,3.8,95.3,2.2,8.3,35789,35.78900,0,4.9,9.1,14.8,23.9,1686,105,471.0944704,131.6310795,1,6447,1801.391489,86,24.02972981,70,19.5590824,14,3.91181648,23,6.4265556
6-Lakeview,6,Lakeview,6,46,1.745446249,62.4,0.23,8.6,0.182,90.5,12.6,1.7,94.4,5,8,100470,100.47000,1,9.2,5.3,6.1,11.4,942,80,93.75933114,9.332072374,1,4491,446.9991042,236,23.48959889,302,30.058724,43,4.279884543,159,15.8256196
7-Lincoln Park,7,Lincoln Park,7,41,0.780671439,59.8,0.24,8.6,0.172,89.5,10.9,2.6,86.3,5.4,9,67710,67.71000,1,10.4,5.5,8.4,13.9,1707,112,252.1045636,37.23298827,1,7196,1062.767686,204,30.12848914,164,24.22094225,33,4.873726185,116,17.1318860
8-Near North Side,8,Near North Side,8,134,1.688737476,61.9,0.16,14.7,0.183,89.8,16.7,2,85.8,7.6,15.9,88893,88.89300,1,10.2,4.4,3.3,7.7,493,10,55.45993498,6.238954133,1,5435,611.4092223,163,18.33665193,630,70.87172218,150,16.87421957,415,46.6853408
9-Edison Park,9,Edison Park,9,1,0.463473847,60.1,0.35,8.2,0.174,93.2,11.5,3,100,1.8,15.5,11753,11.75300,0,2.7,7.1,15.2,22.3,176,5,149.7490003,127.4134266,0,532,452.6503871,7,5.955926147,20,17.01693185,1,0.850846592,1,0.8508466
10-Norwood Park,10,Norwood Park,10,8,0.866929373,63.8,0.34,7.5,0.161,92.1,20,3.1,96.3,6.7,19.3,36936,36.93600,0,6.0,6.3,13.2,19.5,1087,56,294.2928308,79.67642161,1,2064,558.8044185,57,15.43209877,82,22.20056314,12,3.248862898,8,2.1659086
