"","Community","Geo_Group","X","Geo_ID","N_Violent_19","Crowded_Housing_._1216","Income_Diversity_1418","Vegetation_Index_17","Vacant_Housing_._1216","Aerosol_Optical_Depth_17","Overall_Health_Status_._1618","Foreign_Born_._1216","Single_Parents_Households1216","Neighborhood_Safety_._1618","Mobility.Rate_2018","X65._._2018","Total_Population_2018","Total_Population.1000","Big_Community..66p.","X._Poverty_2018","X._0.4_2018","X._5.17_2018","X._0.17","Covid_Cases_0905","Covid_Deaths_0905","Covid_Cases_Rate10k","Covid_Death_Rate10k","Has_Police","N_Active_Business_Licenses","Active_Bus_Rate_10k","Burglary_2019","Burglary_Rate_19_10k","Assault_2019","Assault_Rate_19_10k","Narcotics_2019","Narcotics_Rate_10k","Robbery_2019","Robbery_Rate_10k","Burglary","Burglary p val","Burglary_Sig","burglary_sig_drop","Assault","Assault p val","Assault_Sig","assault_sig_drop","Narcotics","Narcotics p val","Narcotics_Sig","narcotics_sig_drop","Robbery","Robbery p val","Robbery_Sig","robbery_sig_drop"
"1",1,"1-Rogers Park","Rogers Park",1,53,6.608129277,62.2,0.25,11.9,0.181,77,26.4,7.5,73,12.4,8.7,55062,55.062,1,26.2,5.8,11.6,17.4,1712,126,310.9222331,56.46766066,1,1500,272.4201809,181,32.87203516,276,50.12531328,95,17.25327812,111,20.1590934,-0.110954071874505,0.38268156424581,0,"0",-0.299017710360986,0.07,0,"0",-0.840726876352403,0.00209643605870021,1,"1",-0.0727615572286553,0.427400468384075,0,"0"
"2",2,"2-West Ridge","West Ridge",2,63,7.723347591,64.7,0.31,11.4,0.179,84.2,42.7,7.8,75.6,10.1,12.8,76215,76.215,1,20.7,7.8,17.3,25.1,2203,153,289.0507118,37.92569859,1,2315,303.7459818,215,21,223,29.25933215,69,9.053335957,89,11.6774913,-0.239206215102927,0.175,0,"0",-0.37409862459793,0.0389768574908648,1,"1",-0.895218803746987,0.00121802679658952,1,"1",-0.574620627580164,0.0630952380952381,0,"0"
"3",3,"3-Uptown","Uptown",3,38,4.644958271,65.9,0.31,10.1,0.179,86.3,25.5,4,81.9,16.1,12.3,57973,57.973,1,23.3,4.4,7.6,12,887,77,153.0022597,26.39198587,1,2377,410.0184569,109,18.80185604,274,47.26338123,57,9.832163248,75,12.9370569,-0.452674564045719,0.176613885505481,0,"0",-0.366084079047444,0.029029029029029,1,"1",-0.248775790769822,0.300228310502283,0,"0",-0.0570509066088538,0.431578947368421,0,"0"
"4",4,"4-Lincoln Square","Lincoln Square",4,24,1.866319444,64.4,0.3,6.2,0.173,84.5,24.4,4.1,90.1,6.6,9.2,41715,41.715,1,10.8,7.9,8.7,16.6,2974,191,712.9329977,170.9056689,1,5735,1374.805226,96,23.01330457,119,28.52690879,25,5.993048064,27,6.4724919,-0.140784945064092,0.386792452830189,0,"0",-0.267265018058005,0.208416833667335,0,"0",-0.552980030148217,0.206206206206206,0,"0",0.457326102612336,0.322053675612602,0,"0"
"5",5,"5-North Center","North Center",5,15,0.797305657,56.3,0.24,10.2,0.163,83.4,10.5,3.8,95.3,2.2,8.3,35789,35.789,0,4.9,9.1,14.8,23.9,1686,105,471.0944704,131.6310795,1,6447,1801.391489,86,24.02972981,70,19.5590824,14,3.91181648,23,6.4265556,0.348297524067887,0.1699196326062,0,"0",-0.0132170637682269,0.476987447698745,0,"0",-0.494694949562699,0.3162100456621,0,"0",-1,0.108899297423888,0,"0"
"6",6,"6-Lakeview","Lakeview",6,46,1.745446249,62.4,0.23,8.6,0.182,90.5,12.6,1.7,94.4,5,8,100470,100.47,1,9.2,5.3,6.1,11.4,942,80,93.75933114,9.332072374,1,4491,446.9991042,236,23.48959889,302,30.058724,43,4.279884543,159,15.8256196,-0.657486172010172,0.00549450549450549,1,"1",-0.551627582277704,0.002,1,"1",-0.48771205553426,0.196141479099678,0,"0",-0.648595117296264,0.0279329608938547,1,"1"
"7",7,"7-Lincoln Park","Lincoln Park",7,41,0.780671439,59.8,0.24,8.6,0.172,89.5,10.9,2.6,86.3,5.4,9,67710,67.71,1,10.4,5.5,8.4,13.9,1707,112,252.1045636,37.23298827,1,7196,1062.767686,204,30.12848914,164,24.22094225,33,4.873726185,116,17.131886,-0.425187952900524,0.115921787709497,0,"0",-0.442329195826537,0.0660660660660661,0,"0",-0.725808068608728,0.144318181818182,0,"0",-0.630107291410761,0.038,1,"1"
"8",8,"8-Near North Side","Near North Side",8,134,1.688737476,61.9,0.16,14.7,0.183,89.8,16.7,2,85.8,7.6,15.9,88893,88.893,1,10.2,4.4,3.3,7.7,493,10,55.45993498,6.238954133,1,5435,611.4092223,163,18.33665193,630,70.87172218,150,16.87421957,415,46.6853408,-0.268697847691159,0.157,0,"0",-0.40517353849994,0.00200400801603206,1,"1",-0.670928709736596,0.009,1,"1",-0.720135247311949,0.00101522842639594,1,"1"
"9",9,"9-Edison Park","Edison Park",9,1,0.463473847,60.1,0.35,8.2,0.174,93.2,11.5,3,100,1.8,15.5,11753,11.753,0,2.7,7.1,15.2,22.3,176,5,149.7490003,127.4134266,0,532,452.6503871,7,5.955926147,20,17.01693185,1,0.850846592,1,0.8508466,-0.241252839840734,0.424175824175824,0,"0",-0.639635439002104,0.223,0,"0",-1,0.315,0,"0",-1,0.467935871743487,0,"0"
"10",10,"10-Norwood Park","Norwood Park",10,8,0.866929373,63.8,0.34,7.5,0.161,92.1,20,3.1,96.3,6.7,19.3,36936,36.936,0,6,6.3,13.2,19.5,1087,56,294.2928308,79.67642161,1,2064,558.8044185,57,15.43209877,82,22.20056314,12,3.248862898,8,2.1659086,-0.348546908688279,0.324355971896956,0,"0",-0.547297522885249,0.113,0,"0",-1,0.292237442922374,0,"0",-0.431848795473094,0.2002002002002,0,"0"
