"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"1.Average",0.05,0.313926159385362,0.139770343150421,0.469890073302002,0.0823335368894785,-0.263926159385362,-0.419890073302002,-0.0897703431504206,0.0823335368894785,-0.840726876352403,-1.33754407126857,-0.285960059289683,0.262270392026838,0.05,0.00209643605870021
"1.Cumulative",3,18.8355695631217,8.38622058902523,28.1934043981201,4.94001221336871,-15.8355695631217,-25.1934043981201,-5.38622058902523,4.94001221336871,-0.840726876352403,-1.33754407126857,-0.285960059289683,0.262270392026838,0.05,0.00209643605870021
"10.Average",0,0.0192807440823482,-0.0537952518636093,0.0890875124530187,0.0352288311255219,-0.0192807440823482,-0.0890875124530187,0.0537952518636093,0.0352288311255219,-1,-4.62054327740285,2.79010247912889,1.82715101528547,0.05,0.292237442922374
"10.Cumulative",0,1.15684464494089,-3.22771511181656,5.34525074718112,2.11372986753131,-1.15684464494089,-5.34525074718112,3.22771511181656,2.11372986753131,-1,-4.62054327740285,2.79010247912889,1.82715101528547,0.05,0.292237442922374
"11.Average",0.0166666666666667,0.0325135949856849,-0.0317868983687774,0.105425514927164,0.0349453861335282,-0.0158469283190182,-0.0887588482604978,0.0484535650354441,0.0349453861335282,-0.48739391402259,-2.7298995481606,1.49025553946825,1.07479305653263,0.05,0.299299299299299
"11.Cumulative",1,1.95081569914109,-1.90721390212665,6.32553089562987,2.09672316801169,-0.950815699141094,-5.32553089562987,2.90721390212664,2.09672316801169,-0.48739391402259,-2.7298995481606,1.49025553946825,1.07479305653263,0.05,0.299299299299299
"12.Average",0,0.011060417917499,-0.021539462426946,0.0447085885365955,0.0164087757678611,-0.011060417917499,-0.0447085885365955,0.021539462426946,0.0164087757678611,-1,-4.04221511972534,1.94743657858243,1.48355838723782,0.05,0.243181818181818
"12.Cumulative",0,0.66362507504994,-1.29236774561676,2.68251531219573,0.984526546071665,-0.66362507504994,-2.68251531219573,1.29236774561676,0.984526546071665,-1,-4.04221511972534,1.94743657858243,1.48355838723782,0.05,0.243181818181818
"13.Average",0,0.010997805890286,-0.0458238517345654,0.0662294482895592,0.0287490982247928,-0.010997805890286,-0.0662294482895592,0.0458238517345653,0.0287490982247928,-1,-6.02206012274298,4.16663579914972,2.61407579944523,0.05,0.345345345345345
"13.Cumulative",0,0.65986835341716,-2.74943110407392,3.97376689737355,1.72494589348757,-0.65986835341716,-3.97376689737355,2.74943110407392,1.72494589348757,-1,-6.02206012274298,4.16663579914972,2.61407579944523,0.05,0.345345345345345
"14.Average",0.116666666666667,0.225085762570337,0.0949752520697597,0.354605793228804,0.0658202914298913,-0.108419095903671,-0.237939126562137,0.0216914145969069,0.0658202914298913,-0.481679048312932,-1.0571042959138,0.0963695542054933,0.292423166522241,0.05,0.0526849037487335
"14.Cumulative",7,13.5051457542202,5.69851512418558,21.2763475937282,3.94921748579348,-6.50514575422024,-14.2763475937282,1.30148487581442,3.94921748579348,-0.481679048312932,-1.0571042959138,0.0963695542054933,0.292423166522241,0.05,0.0526849037487335
"15.Average",0.0666666666666667,0.148853630659216,0.0199175634995277,0.27184407517904,0.0641293263603825,-0.0821869639925494,-0.205177408512373,0.0467491031671388,0.0641293263603825,-0.552132746971469,-1.37838363500924,0.314060886255208,0.43082137853392,0.05,0.104587155963303
"15.Cumulative",4,8.93121783955297,1.19505380997166,16.3106445107424,3.84775958162295,-4.93121783955297,-12.3106445107424,2.80494619002833,3.84775958162295,-0.552132746971469,-1.37838363500924,0.314060886255208,0.43082137853392,0.05,0.104587155963303
"16.Average",0.05,0.0861944732419375,-0.0328168753969094,0.208124123199111,0.0597899705590877,-0.0361944732419375,-0.158124123199111,0.0828168753969094,0.0597899705590877,-0.419916403924692,-1.8345042002319,0.960814217919198,0.693663622623047,0.05,0.263966480446927
